"","X.1","X","vuosi","toimiala","kokoluokka","y_min","y_25","y_median","y_75","y_max","y_mean","n"
"1",1,1,2013,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","mikroyritys",0.0640945374199632,0.521920137240186,0.950999215491969,1.70981798857447,4.66790325579643,1.32561183788644,65885
"2",2,2,2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","mikroyritys",0.0618494698229854,0.502157082223472,0.938997952547272,1.68194761443487,4.89683388157895,1.3340586098045,67395
"3",3,3,2015,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","mikroyritys",0.0557962212370317,0.495886499104775,0.939424937558073,1.67516175172079,4.66328883919212,1.30095602646556,70859
"4",4,4,2016,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","mikroyritys",0.0468239305466582,0.497775304488598,0.969396338446314,1.71469768336057,4.90060134418111,1.33948065048828,72847
"5",5,5,2017,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","mikroyritys",0.0378848865313315,0.490436188070337,0.945780955058436,1.68351322684061,4.78033691115086,1.30776875168903,74687
"6",6,6,2018,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","mikroyritys",0.0297549947772518,0.474985695449909,0.943275295923088,1.68574523925781,4.79638735574511,1.30153302976012,72814
"7",7,7,2019,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","mikroyritys",0.0109632154523505,0.451379586783396,0.920785309331297,1.67415668750487,4.80205288231064,1.28283314026249,71258
"8",8,8,2020,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","mikroyritys",0.0150356582316821,0.448399189899599,0.916146966991938,1.65413428551425,4.78015144676797,1.27509748390735,71324
"9",9,9,2021,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","mikroyritys",0.073418809569071,0.561219972506349,1.04311496376297,1.78728977116074,4.99966763521519,1.42064061835259,58913
"10",19,19,2013,"Kiinteistöalan toiminta","mikroyritys",0,0.139128334466835,0.308596788440495,0.898798643501437,5.86384152457372,0.921805278500044,25920
"11",20,20,2014,"Kiinteistöalan toiminta","mikroyritys",0,0.166540877661052,0.326902270695993,0.757355212260819,6.03186915656486,0.936636984377729,26859
"12",21,21,2015,"Kiinteistöalan toiminta","mikroyritys",0,0.120904489147194,0.273658374356079,0.779059689532352,5.65141012487175,0.862634516450464,28264
"13",22,22,2016,"Kiinteistöalan toiminta","mikroyritys",0,0.113129191676591,0.280558717180398,0.802296864582649,5.18856929059761,0.833558666664592,32417
"14",23,23,2017,"Kiinteistöalan toiminta","mikroyritys",0,0.115228348862074,0.235578908900295,0.663116483649042,4.97267443959138,0.776946718539386,36060
"15",24,24,2018,"Kiinteistöalan toiminta","mikroyritys",0,0.120762711864407,0.221697698050104,0.512199695788969,4.72092754858355,0.700045334511071,43091
"16",25,25,2019,"Kiinteistöalan toiminta","mikroyritys",0.0181372357714973,0.127274591924696,0.225061088009603,0.506861967895442,4.75487053020962,0.707499841174849,43184
"17",26,26,2020,"Kiinteistöalan toiminta","mikroyritys",0.00255039306913455,0.118772358279529,0.216030324905901,0.484185715068793,4.01210424471983,0.619495417807813,43058
"18",27,27,2021,"Kiinteistöalan toiminta","mikroyritys",0.00445832394135766,0.144803366322446,0.359838433177559,1.3880420374929,5.80390284907983,1.10395262896689,14983
"19",28,28,2013,"Teollisuus","mikroyritys",0.0676803893144609,0.854601579105006,1.57323700891974,2.6222227571432,6.33202819107283,1.98966042579479,33056
"20",29,29,2014,"Teollisuus","mikroyritys",0.0770171381182235,0.838535739296043,1.5221893804186,2.54229774658293,6.35044877025294,1.94865021269842,33994
"21",30,30,2015,"Teollisuus","mikroyritys",0.0577901452816057,0.805758417135257,1.50405635769886,2.5471346451904,5.99593478539946,1.89657954822798,34844
"22",31,31,2016,"Teollisuus","mikroyritys",0.0558790892480206,0.794212218649518,1.47956696852313,2.49961523845715,6.06152636360534,1.87348866991988,36048
"23",32,32,2017,"Teollisuus","mikroyritys",0.0349723401046107,0.78932735426009,1.45530759482511,2.42054755856619,6.04755848688297,1.85571526152778,36748
"24",33,33,2018,"Teollisuus","mikroyritys",0.0391072307999546,0.776920409495753,1.48000593067278,2.47038193610377,5.94970242797704,1.87914529039396,36092
"25",34,34,2019,"Teollisuus","mikroyritys",0.0281463169152008,0.728235017107105,1.42531906044088,2.47491447368584,6.37916901673247,1.85347550953502,36528
"26",35,35,2020,"Teollisuus","mikroyritys",0.0312539142252838,0.71130943126341,1.35572328167567,2.38716072299257,5.91771514879779,1.77216469147004,36653
"27",36,36,2021,"Teollisuus","mikroyritys",0.0486872251543458,0.84130754274723,1.49585891224161,2.46268089460605,5.64907724052556,1.85461075367274,30773
"28",37,37,2013,"Ammatillinen, tieteellinen ja tekninen toiminta","mikroyritys",0.0551642225140431,0.841846340722745,1.74929002729604,3.09611047078147,9.38785002373042,2.42778599308273,48251
"29",38,38,2014,"Ammatillinen, tieteellinen ja tekninen toiminta","mikroyritys",0.0613041100076303,0.824954860781146,1.76008724616847,3.11231352718078,9.2916332920702,2.41381611544847,50264
"30",39,39,2015,"Ammatillinen, tieteellinen ja tekninen toiminta","mikroyritys",0.045678720976348,0.781561272056975,1.66020264969448,2.95471527917451,8.57489826157536,2.27213638317133,52789
