"","maakunta","vuosi","toimiala","tuottavuus","nobs"
"650","Pohjois-Pohjanmaa",2014,"Terveys- ja sosiaalipalvelut",2.70770785786971,3956
"651","Pohjois-Savo",2014,"Terveys- ja sosiaalipalvelut",2.21700696994142,2768
"652","Satakunta",2014,"Terveys- ja sosiaalipalvelut",1.94002560800051,1651
"653","Uusimaa",2014,"Terveys- ja sosiaalipalvelut",2.84388819931572,2479
"654","Varsinais-Suomi",2014,"Terveys- ja sosiaalipalvelut",2.64544970478423,3812
"662","Ahvenanmaa",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.00494306204019,257
"663","Etelä-Karjala",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.41142038185291,5356
"664","Etelä-Pohjanmaa",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.29066428435448,4913
"665","Etelä-Savo",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.1405590211055,4421
"666","Kainuu",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",0.958420241717886,883
"667","Kanta-Häme",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.02758763112275,4761
"668","Keski-Pohjanmaa",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.0481144842489,2622
"669","Keski-Suomi",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.27299007172188,5235
"670","Kymenlaakso",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.39355002761143,5208
"671","Lappi",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.04951260777512,2016
"672","Päijät-Häme",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.32163208338236,2633
"673","Pirkanmaa",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.60967624128306,12261
"674","Pohjanmaa",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.27976783808877,3436
"675","Pohjois-Karjala",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.30628925596183,4246
"676","Pohjois-Pohjanmaa",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.1568142744477,9341
"677","Pohjois-Savo",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.18073979793842,9241
"678","Satakunta",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.23964384225085,5409
"679","Uusimaa",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.51001903838654,9442
"680","Varsinais-Suomi",2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus",1.33973133245914,16376
"681","Ahvenanmaa",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",1.94098830545016,14
"682","Etelä-Karjala",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.620517038808347,286
"683","Etelä-Pohjanmaa",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",1.84419328624171,163
"684","Etelä-Savo",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.267339139342894,681
"685","Kainuu",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.0677548821634956,324
"686","Kanta-Häme",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.106701289287705,290
"687","Keski-Pohjanmaa",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.185880933071235,678
"688","Keski-Suomi",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.154480406871092,988
"689","Kymenlaakso",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.517896429966176,282
"690","Lappi",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.764889203035285,88
"691","Päijät-Häme",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.503261902561708,76
"692","Pirkanmaa",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.169221031712036,1891
"693","Pohjanmaa",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.278991523466114,878
"694","Pohjois-Karjala",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.141335959395801,991
"695","Pohjois-Pohjanmaa",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.164288016291397,1112
"696","Pohjois-Savo",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.231948365271474,1406
"697","Satakunta",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.171524457343202,957
"698","Uusimaa",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.140783504390456,1938
"699","Varsinais-Suomi",2014,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito",0.151480802338716,2332
"700","Ahvenanmaa",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.57409636094828,142
"701","Etelä-Karjala",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.21169534215828,2691
"702","Etelä-Pohjanmaa",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.29416828394732,2064
"703","Etelä-Savo",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.69973613531376,2266
"704","Kainuu",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",1.8004180313464,393
"705","Kanta-Häme",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.62149109212822,2547
"706","Keski-Pohjanmaa",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.28225543848124,997
"707","Keski-Suomi",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.64320972790405,3719
"708","Kymenlaakso",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.30530810818291,2743
"709","Lappi",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.12772147591242,1024
"710","Päijät-Häme",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.79803857477739,1666
"711","Pirkanmaa",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.79636559625934,8726
"712","Pohjanmaa",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.24510387585334,1718
"713","Pohjois-Karjala",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.19924082976603,2283
"714","Pohjois-Pohjanmaa",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",1.96364863728507,7096
"715","Pohjois-Savo",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.0484160797079,5244
"716","Satakunta",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.35495143321473,2599
"717","Uusimaa",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.98746133920855,6269
"718","Varsinais-Suomi",2015,"Ammatillinen, tieteellinen ja tekninen toiminta",2.57117390669947,10848
"719","Ahvenanmaa",2015,"Hallinto- ja tukipalvelutoiminta",2.39179281392768,59
"720","Etelä-Karjala",2015,"Hallinto- ja tukipalvelutoiminta",2.06475995053223,1448
"721","Etelä-Pohjanmaa",2015,"Hallinto- ja tukipalvelutoiminta",2.15667419031233,927
"722","Etelä-Savo",2015,"Hallinto- ja tukipalvelutoiminta",1.71789786772502,1043
"723","Kainuu",2015,"Hallinto- ja tukipalvelutoiminta",1.18133967871278,256
"724","Kanta-Häme",2015,"Hallinto- ja tukipalvelutoiminta",2.21964757773322,1286
"725","Keski-Pohjanmaa",2015,"Hallinto- ja tukipalvelutoiminta",2.25282420217707,586
"726","Keski-Suomi",2015,"Hallinto- ja tukipalvelutoiminta",2.06907625839717,1460
"727","Kymenlaakso",2015,"Hallinto- ja tukipalvelutoiminta",2.47324717560533,1409
"728","Lappi",2015,"Hallinto- ja tukipalvelutoiminta",2.02572530724751,790
"729","Päijät-Häme",2015,"Hallinto- ja tukipalvelutoiminta",2.22598957213944,707
"730","Pirkanmaa",2015,"Hallinto- ja tukipalvelutoiminta",2.23196019423778,3471
"731","Pohjanmaa",2015,"Hallinto- ja tukipalvelutoiminta",2.05060700162346,894
"732","Pohjois-Karjala",2015,"Hallinto- ja tukipalvelutoiminta",2.28455262792092,1255
"733","Pohjois-Pohjanmaa",2015,"Hallinto- ja tukipalvelutoiminta",1.62967913241797,2556
"734","Pohjois-Savo",2015,"Hallinto- ja tukipalvelutoiminta",1.52310511548084,2473
"735","Satakunta",2015,"Hallinto- ja tukipalvelutoiminta",1.71529912081673,1389
"736","Uusimaa",2015,"Hallinto- ja tukipalvelutoiminta",2.78418393876208,3204
"737","Varsinais-Suomi",2015,"Hallinto- ja tukipalvelutoiminta",2.3548927123505,5293
"738","Ahvenanmaa",2015,"Informaatio ja viestintä",2.1593753034394,47
"739","Etelä-Karjala",2015,"Informaatio ja viestintä",2.5248549424408,830
"740","Etelä-Pohjanmaa",2015,"Informaatio ja viestintä",2.15014355638313,480
"741","Etelä-Savo",2015,"Informaatio ja viestintä",1.80961861296646,641
"742","Kainuu",2015,"Informaatio ja viestintä",0.943640151120798,141
"743","Kanta-Häme",2015,"Informaatio ja viestintä",2.33383907166927,770
"744","Keski-Pohjanmaa",2015,"Informaatio ja viestintä",1.63217636142554,231
"745","Keski-Suomi",2015,"Informaatio ja viestintä",1.89161569337572,1337
"746","Kymenlaakso",2015,"Informaatio ja viestintä",1.88145700404487,583
"747","Lappi",2015,"Informaatio ja viestintä",2.1220201657789,216
"748","Päijät-Häme",2015,"Informaatio ja viestintä",2.339113127825,347
"749","Pirkanmaa",2015,"Informaatio ja viestintä",1.97947165840619,3439
"750","Pohjanmaa",2015,"Informaatio ja viestintä",2.65139164997541,528
"751","Pohjois-Karjala",2015,"Informaatio ja viestintä",1.51581631385078,725
"752","Pohjois-Pohjanmaa",2015,"Informaatio ja viestintä",1.30741161787375,2870
"753","Pohjois-Savo",2015,"Informaatio ja viestintä",1.89855611000553,1706
"754","Satakunta",2015,"Informaatio ja viestintä",1.98345891994048,667
"755","Uusimaa",2015,"Informaatio ja viestintä",2.59856599201785,1404
"756","Varsinais-Suomi",2015,"Informaatio ja viestintä",1.99405302597401,2997
"759","Etelä-Karjala",2015,"Kaivostoiminta ja louhinta",0.673455747631406,120
"760","Etelä-Pohjanmaa",2015,"Kaivostoiminta ja louhinta",1.14858145513294,202
"761","Etelä-Savo",2015,"Kaivostoiminta ja louhinta",0.847394581458496,94
"762","Kainuu",2015,"Kaivostoiminta ja louhinta",1.22708539223037,49
"763","Kanta-Häme",2015,"Kaivostoiminta ja louhinta",1.79463929247924,85
"764","Keski-Pohjanmaa",2015,"Kaivostoiminta ja louhinta",1.44389222391289,36
"765","Keski-Suomi",2015,"Kaivostoiminta ja louhinta",1.10672402395179,84
"766","Kymenlaakso",2015,"Kaivostoiminta ja louhinta",0.528295518633625,134
"767","Lappi",2015,"Kaivostoiminta ja louhinta",1.35668529546415,89
"768","Päijät-Häme",2015,"Kaivostoiminta ja louhinta",1.02373859034583,21
"769","Pirkanmaa",2015,"Kaivostoiminta ja louhinta",1.73906024934338,167
"770","Pohjanmaa",2015,"Kaivostoiminta ja louhinta",0.845441564850136,40
"771","Pohjois-Karjala",2015,"Kaivostoiminta ja louhinta",0.786151302607057,53
"772","Pohjois-Pohjanmaa",2015,"Kaivostoiminta ja louhinta",1.30248008135115,368
"773","Pohjois-Savo",2015,"Kaivostoiminta ja louhinta",1.29228923277307,191
"774","Satakunta",2015,"Kaivostoiminta ja louhinta",1.71607301023565,95
"775","Uusimaa",2015,"Kaivostoiminta ja louhinta",1.29062656843551,123
"776","Varsinais-Suomi",2015,"Kaivostoiminta ja louhinta",0.765934370128796,317
"777","Ahvenanmaa",2015,"Kiinteistöalan toiminta",1.00232669316427,97
"778","Etelä-Karjala",2015,"Kiinteistöalan toiminta",2.10226546240196,1514
"779","Etelä-Pohjanmaa",2015,"Kiinteistöalan toiminta",2.28924907117664,1308
"780","Etelä-Savo",2015,"Kiinteistöalan toiminta",1.95752422010191,1230
"781","Kainuu",2015,"Kiinteistöalan toiminta",2.28036970672621,226
"782","Kanta-Häme",2015,"Kiinteistöalan toiminta",1.84064184813674,1463
"783","Keski-Pohjanmaa",2015,"Kiinteistöalan toiminta",2.20906061265468,733
"784","Keski-Suomi",2015,"Kiinteistöalan toiminta",2.28772539498936,1945
"785","Kymenlaakso",2015,"Kiinteistöalan toiminta",1.79095761259418,1227
"786","Lappi",2015,"Kiinteistöalan toiminta",2.00427036705269,733
"787","Päijät-Häme",2015,"Kiinteistöalan toiminta",1.92147905005005,748
"788","Pirkanmaa",2015,"Kiinteistöalan toiminta",2.23712334274863,3775
"789","Pohjanmaa",2015,"Kiinteistöalan toiminta",2.05874927158757,923
"790","Pohjois-Karjala",2015,"Kiinteistöalan toiminta",2.11483695510763,1306
"791","Pohjois-Pohjanmaa",2015,"Kiinteistöalan toiminta",2.06824414304509,3433
"792","Pohjois-Savo",2015,"Kiinteistöalan toiminta",2.07990424209934,2790
"793","Satakunta",2015,"Kiinteistöalan toiminta",2.24296762848857,1440
"794","Uusimaa",2015,"Kiinteistöalan toiminta",2.09001947595923,2434
"795","Varsinais-Suomi",2015,"Kiinteistöalan toiminta",2.1630799323685,5146
"798","Ahvenanmaa",2015,"Koulutus",2.68714781813458,11
"799","Etelä-Karjala",2015,"Koulutus",2.04212286134237,288
"800","Etelä-Pohjanmaa",2015,"Koulutus",1.65285711734837,214
"801","Etelä-Savo",2015,"Koulutus",1.80513332556921,208
"802","Kainuu",2015,"Koulutus",1.51466992373268,74
"803","Kanta-Häme",2015,"Koulutus",3.04619872759394,383
"804","Keski-Pohjanmaa",2015,"Koulutus",2.1128727780103,96
"805","Keski-Suomi",2015,"Koulutus",2.18319005419035,407
"806","Kymenlaakso",2015,"Koulutus",1.35927037222682,287
"807","Lappi",2015,"Koulutus",1.68844422141364,107
"808","Päijät-Häme",2015,"Koulutus",2.45715786779133,120
"809","Pirkanmaa",2015,"Koulutus",3.10656063069851,854
"810","Pohjanmaa",2015,"Koulutus",2.56569110102596,124
"811","Pohjois-Karjala",2015,"Koulutus",2.00851591223416,209
"812","Pohjois-Pohjanmaa",2015,"Koulutus",2.99889136963644,674
"813","Pohjois-Savo",2015,"Koulutus",1.96664488540932,586
"814","Satakunta",2015,"Koulutus",3.09379607170331,302
"815","Uusimaa",2015,"Koulutus",2.65158032232845,629
"816","Varsinais-Suomi",2015,"Koulutus",2.81696380234606,1090
"817","Ahvenanmaa",2015,"Kuljetus ja varastointi",1.57590099798466,93
"818","Etelä-Karjala",2015,"Kuljetus ja varastointi",1.76472665236036,2532
"819","Etelä-Pohjanmaa",2015,"Kuljetus ja varastointi",1.60873948385492,1805
"820","Etelä-Savo",2015,"Kuljetus ja varastointi",1.88270395760267,2063
"821","Kainuu",2015,"Kuljetus ja varastointi",1.54416936661668,433
"822","Kanta-Häme",2015,"Kuljetus ja varastointi",1.57403537123136,1726
"823","Keski-Pohjanmaa",2015,"Kuljetus ja varastointi",1.53208189644576,1031
"824","Keski-Suomi",2015,"Kuljetus ja varastointi",1.81150614792546,2178
"825","Kymenlaakso",2015,"Kuljetus ja varastointi",1.78642450764943,2844
"826","Lappi",2015,"Kuljetus ja varastointi",1.74393177141107,1069
"827","Päijät-Häme",2015,"Kuljetus ja varastointi",1.95919469447388,928
"828","Pirkanmaa",2015,"Kuljetus ja varastointi",1.99007556297263,4832
"829","Pohjanmaa",2015,"Kuljetus ja varastointi",1.46731277227302,1624
"830","Pohjois-Karjala",2015,"Kuljetus ja varastointi",1.80166327138057,1742
"831","Pohjois-Pohjanmaa",2015,"Kuljetus ja varastointi",1.70307424670311,4394
"832","Pohjois-Savo",2015,"Kuljetus ja varastointi",1.81345327512645,3507
"833","Satakunta",2015,"Kuljetus ja varastointi",2.00692843689357,2346
"834","Uusimaa",2015,"Kuljetus ja varastointi",2.04344441598732,4482
"835","Varsinais-Suomi",2015,"Kuljetus ja varastointi",1.89684777727306,7152
"836","Ahvenanmaa",2015,"Maatalous, metsätalous ja kalatalous",2.06876030823194,165
"837","Etelä-Karjala",2015,"Maatalous, metsätalous ja kalatalous",2.66864450458779,5048
"838","Etelä-Pohjanmaa",2015,"Maatalous, metsätalous ja kalatalous",1.80148939373418,7982
"839","Etelä-Savo",2015,"Maatalous, metsätalous ja kalatalous",2.48090995743121,7629
"840","Kainuu",2015,"Maatalous, metsätalous ja kalatalous",1.55727673102543,907
"841","Kanta-Häme",2015,"Maatalous, metsätalous ja kalatalous",1.89317214566362,4360
"842","Keski-Pohjanmaa",2015,"Maatalous, metsätalous ja kalatalous",1.31768947665194,2931
"843","Keski-Suomi",2015,"Maatalous, metsätalous ja kalatalous",2.57835603894652,5051
"844","Kymenlaakso",2015,"Maatalous, metsätalous ja kalatalous",1.9785879268944,5825
"845","Lappi",2015,"Maatalous, metsätalous ja kalatalous",1.88218335469484,1519
"846","Päijät-Häme",2015,"Maatalous, metsätalous ja kalatalous",1.93508238878911,1786
"847","Pirkanmaa",2015,"Maatalous, metsätalous ja kalatalous",2.29025768875242,9663
"848","Pohjanmaa",2015,"Maatalous, metsätalous ja kalatalous",1.71876635141754,8417
"849","Pohjois-Karjala",2015,"Maatalous, metsätalous ja kalatalous",2.16450341753703,4836
"850","Pohjois-Pohjanmaa",2015,"Maatalous, metsätalous ja kalatalous",1.64622363151948,7396
"851","Pohjois-Savo",2015,"Maatalous, metsätalous ja kalatalous",1.50232164302088,11018
"852","Satakunta",2015,"Maatalous, metsätalous ja kalatalous",1.87521854537104,4187
"853","Uusimaa",2015,"Maatalous, metsätalous ja kalatalous",1.75864466498096,7070
"854","Varsinais-Suomi",2015,"Maatalous, metsätalous ja kalatalous",1.45577267500626,17742
"855","Ahvenanmaa",2015,"Majoitus- ja ravitsemistoiminta",1.33466700179789,84
"856","Etelä-Karjala",2015,"Majoitus- ja ravitsemistoiminta",2.31657330747696,1484
"857","Etelä-Pohjanmaa",2015,"Majoitus- ja ravitsemistoiminta",1.69030904969771,838
"858","Etelä-Savo",2015,"Majoitus- ja ravitsemistoiminta",1.95464373639186,1420
"859","Kainuu",2015,"Majoitus- ja ravitsemistoiminta",1.67988698358121,230
"860","Kanta-Häme",2015,"Majoitus- ja ravitsemistoiminta",1.97091795700171,1154
"861","Keski-Pohjanmaa",2015,"Majoitus- ja ravitsemistoiminta",1.89735619960813,471
"862","Keski-Suomi",2015,"Majoitus- ja ravitsemistoiminta",2.23584231580001,1504
"863","Kymenlaakso",2015,"Majoitus- ja ravitsemistoiminta",2.3138475751611,1442
"864","Lappi",2015,"Majoitus- ja ravitsemistoiminta",1.63136665156793,806
"865","Päijät-Häme",2015,"Majoitus- ja ravitsemistoiminta",1.99008990359681,570
"866","Pirkanmaa",2015,"Majoitus- ja ravitsemistoiminta",2.46217058417945,3071
"867","Pohjanmaa",2015,"Majoitus- ja ravitsemistoiminta",2.01731012282518,701
"868","Pohjois-Karjala",2015,"Majoitus- ja ravitsemistoiminta",2.53900173042206,1086
"869","Pohjois-Pohjanmaa",2015,"Majoitus- ja ravitsemistoiminta",1.83010138018713,2427
"870","Pohjois-Savo",2015,"Majoitus- ja ravitsemistoiminta",1.85406791291468,2088
"871","Satakunta",2015,"Majoitus- ja ravitsemistoiminta",2.29969586138977,1356
"872","Uusimaa",2015,"Majoitus- ja ravitsemistoiminta",2.2439571570848,2266
"873","Varsinais-Suomi",2015,"Majoitus- ja ravitsemistoiminta",2.35814244972369,4509
"874","Ahvenanmaa",2015,"Muu palvelutoiminta",2.51118265712848,40
"875","Etelä-Karjala",2015,"Muu palvelutoiminta",4.73044842501993,1430
"876","Etelä-Pohjanmaa",2015,"Muu palvelutoiminta",5.4684937684276,1013
"877","Etelä-Savo",2015,"Muu palvelutoiminta",4.97764719722988,1205
"878","Kainuu",2015,"Muu palvelutoiminta",4.17958482180334,279
"879","Kanta-Häme",2015,"Muu palvelutoiminta",5.70104536972457,1315
"880","Keski-Pohjanmaa",2015,"Muu palvelutoiminta",5.02389131274333,538
"881","Keski-Suomi",2015,"Muu palvelutoiminta",5.92300423644949,1819
"882","Kymenlaakso",2015,"Muu palvelutoiminta",5.30453174896751,1526
"883","Lappi",2015,"Muu palvelutoiminta",4.99815175991229,521
"884","Päijät-Häme",2015,"Muu palvelutoiminta",5.44511004627027,669
"885","Pirkanmaa",2015,"Muu palvelutoiminta",6.27033499573883,3464
"886","Pohjanmaa",2015,"Muu palvelutoiminta",5.06130710676139,772
"887","Pohjois-Karjala",2015,"Muu palvelutoiminta",5.22871865301873,1213
"888","Pohjois-Pohjanmaa",2015,"Muu palvelutoiminta",4.69368839688267,2570
"889","Pohjois-Savo",2015,"Muu palvelutoiminta",4.5707278448906,2383
"890","Satakunta",2015,"Muu palvelutoiminta",5.71126548762008,1614
"891","Uusimaa",2015,"Muu palvelutoiminta",5.7383981261632,2274
"892","Varsinais-Suomi",2015,"Muu palvelutoiminta",5.14762501172457,4295
"893","Ahvenanmaa",2015,"Rahoitus- ja vakuutustoiminta",1.31469510614789,60
"894","Etelä-Karjala",2015,"Rahoitus- ja vakuutustoiminta",1.55739631589586,539
"895","Etelä-Pohjanmaa",2015,"Rahoitus- ja vakuutustoiminta",1.45913504045241,407
"896","Etelä-Savo",2015,"Rahoitus- ja vakuutustoiminta",1.24049013555149,485
"897","Kainuu",2015,"Rahoitus- ja vakuutustoiminta",0.855700165719976,91
"898","Kanta-Häme",2015,"Rahoitus- ja vakuutustoiminta",1.01927259080017,391
"899","Keski-Pohjanmaa",2015,"Rahoitus- ja vakuutustoiminta",0.653685639299475,294
"900","Keski-Suomi",2015,"Rahoitus- ja vakuutustoiminta",1.74180764733553,619
"901","Kymenlaakso",2015,"Rahoitus- ja vakuutustoiminta",1.17118164672508,481
"902","Lappi",2015,"Rahoitus- ja vakuutustoiminta",0.932485614157852,208
"903","Päijät-Häme",2015,"Rahoitus- ja vakuutustoiminta",1.32238805442789,257
"904","Pirkanmaa",2015,"Rahoitus- ja vakuutustoiminta",1.17443746713719,1289
"905","Pohjanmaa",2015,"Rahoitus- ja vakuutustoiminta",1.07308239424342,472
"906","Pohjois-Karjala",2015,"Rahoitus- ja vakuutustoiminta",0.898579934391697,446
"907","Pohjois-Pohjanmaa",2015,"Rahoitus- ja vakuutustoiminta",1.02177030515491,1246
"908","Pohjois-Savo",2015,"Rahoitus- ja vakuutustoiminta",0.64484040687564,1015
"909","Satakunta",2015,"Rahoitus- ja vakuutustoiminta",1.7713307512154,600
"910","Uusimaa",2015,"Rahoitus- ja vakuutustoiminta",1.57591943667679,910
"911","Varsinais-Suomi",2015,"Rahoitus- ja vakuutustoiminta",1.21147550697178,2058
"912","Ahvenanmaa",2015,"Rakentaminen",2.10144519980442,178
"913","Etelä-Karjala",2015,"Rakentaminen",2.25219378637318,3917
"914","Etelä-Pohjanmaa",2015,"Rakentaminen",2.58705591360751,3733
"915","Etelä-Savo",2015,"Rakentaminen",2.87459067927777,3527
"916","Kainuu",2015,"Rakentaminen",1.84839577163157,581
"917","Kanta-Häme",2015,"Rakentaminen",2.71370973319123,3702
"918","Keski-Pohjanmaa",2015,"Rakentaminen",2.41888553956748,1632
"919","Keski-Suomi",2015,"Rakentaminen",2.48114330281169,4868
"920","Kymenlaakso",2015,"Rakentaminen",2.75092190270932,4179
"921","Lappi",2015,"Rakentaminen",2.47519452128602,1669
"922","Päijät-Häme",2015,"Rakentaminen",2.7619137588618,2128
"923","Pirkanmaa",2015,"Rakentaminen",3.14486749448746,9214
"924","Pohjanmaa",2015,"Rakentaminen",2.42853884153857,2870
"925","Pohjois-Karjala",2015,"Rakentaminen",2.15983883104585,3215
"926","Pohjois-Pohjanmaa",2015,"Rakentaminen",2.04425143873266,7171
"927","Pohjois-Savo",2015,"Rakentaminen",2.01255489860491,5634
"928","Satakunta",2015,"Rakentaminen",2.70362432360408,4297
"929","Uusimaa",2015,"Rakentaminen",3.37455618347854,11253
"930","Varsinais-Suomi",2015,"Rakentaminen",3.0711840751082,14974
"931","Ahvenanmaa",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.318444319243049,17
"932","Etelä-Karjala",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.286960249216627,103
"933","Etelä-Pohjanmaa",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.863371171262531,123
"934","Etelä-Savo",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",1.25834694500962,111
"935","Kainuu",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.299975369861308,44
"936","Kanta-Häme",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.346502679032056,52
"937","Keski-Pohjanmaa",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",1.80156150834528,42
"938","Keski-Suomi",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.876649677557073,179
"939","Kymenlaakso",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",1.75756629215668,127
"940","Lappi",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.519542115515429,116
"941","Päijät-Häme",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.563825159018009,45
"942","Pirkanmaa",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",2.75864873671308,262
"943","Pohjanmaa",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",1.67594808253305,157
"944","Pohjois-Karjala",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.668506690551114,131
"945","Pohjois-Pohjanmaa",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.812619313646801,294
"946","Pohjois-Savo",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",1.01374534098206,124
"947","Satakunta",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",1.91006351296425,193
"948","Uusimaa",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",2.09507435462321,210
"949","Varsinais-Suomi",2015,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",2.3407981616034,384
"950","Ahvenanmaa",2015,"Taiteet, viihde ja virkistys",1.55618891741612,25
"951","Etelä-Karjala",2015,"Taiteet, viihde ja virkistys",3.56343738863647,348
"952","Etelä-Pohjanmaa",2015,"Taiteet, viihde ja virkistys",3.29512401106127,400
"953","Etelä-Savo",2015,"Taiteet, viihde ja virkistys",2.63728347530447,389
