"","date","TOL","maakunta","yrityksiä","työntekijöitä"
"1",NA,NA,NA,NA,NA
"2",NA,NA,NA,"Vireille pannut konkurssit, yritysten lukumäärä",NA
"3","2003M01","Yhteensä","KOKO MAA","198",819
"4",NA,NA,"MA1 MANNER-SUOMI","198",819
"5",NA,NA,"MK01 Uusimaa","63",304
"6",NA,NA,"MK02 Varsinais-Suomi","19",66
"7",NA,NA,"MK04 Satakunta","9",37
"8",NA,NA,"MK05 Kanta-Häme","2",21
"9",NA,NA,"MK06 Pirkanmaa","10",26
"10",NA,NA,"MK07 Päijät-Häme","10",54
"11",NA,NA,"MK08 Kymenlaakso","3",3
"12",NA,NA,"MK09 Etelä-Karjala","6",16
"13",NA,NA,"MK10 Etelä-Savo","8",12
"14",NA,NA,"MK11 Pohjois-Savo","15",95
"15",NA,NA,"MK12 Pohjois-Karjala","2",3
"16",NA,NA,"MK13 Keski-Suomi","16",65
"17",NA,NA,"MK14 Etelä-Pohjanmaa","5",8
"18",NA,NA,"MK15 Pohjanmaa","7",42
"19",NA,NA,"MK16 Keski-Pohjanmaa","3",7
"20",NA,NA,"MK17 Pohjois-Pohjanmaa","12",35
"21",NA,NA,"MK18 Kainuu","1",1
"22",NA,NA,"MK19 Lappi","7",24
"23",NA,NA,"MA2 AHVENANMAA","0",0
"24",NA,NA,"MK21 Ahvenanmaa","0",0
"25",NA,"Maa-, metsä ja kalatalous","KOKO MAA","6",35
"26",NA,NA,"MA1 MANNER-SUOMI","6",35
"27",NA,NA,"MK01 Uusimaa","2",31
"28",NA,NA,"MK02 Varsinais-Suomi","0",0
"29",NA,NA,"MK04 Satakunta","0",0
"30",NA,NA,"MK05 Kanta-Häme","0",0
"31",NA,NA,"MK06 Pirkanmaa","0",0
"32",NA,NA,"MK07 Päijät-Häme","0",0
"33",NA,NA,"MK08 Kymenlaakso","0",0
"34",NA,NA,"MK09 Etelä-Karjala","0",0
"35",NA,NA,"MK10 Etelä-Savo","0",0
"36",NA,NA,"MK11 Pohjois-Savo","0",0
"37",NA,NA,"MK12 Pohjois-Karjala","0",0
"38",NA,NA,"MK13 Keski-Suomi","1",1
"39",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"40",NA,NA,"MK15 Pohjanmaa","1",1
"41",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"42",NA,NA,"MK17 Pohjois-Pohjanmaa","0",0
"43",NA,NA,"MK18 Kainuu","0",0
"44",NA,NA,"MK19 Lappi","2",2
"45",NA,NA,"MA2 AHVENANMAA","0",0
"46",NA,NA,"MK21 Ahvenanmaa","0",0
"47",NA,"Teollisuus, kaivostoiminta sekä energia- ja vesihuolto","KOKO MAA","33",245
"48",NA,NA,"MA1 MANNER-SUOMI","33",245
"49",NA,NA,"MK01 Uusimaa","6",113
"50",NA,NA,"MK02 Varsinais-Suomi","3",5
"51",NA,NA,"MK04 Satakunta","2",17
"52",NA,NA,"MK05 Kanta-Häme","1",19
"53",NA,NA,"MK06 Pirkanmaa","3",8
"54",NA,NA,"MK07 Päijät-Häme","3",38
"55",NA,NA,"MK08 Kymenlaakso","1",1
"56",NA,NA,"MK09 Etelä-Karjala","2",9
"57",NA,NA,"MK10 Etelä-Savo","0",0
"58",NA,NA,"MK11 Pohjois-Savo","2",3
"59",NA,NA,"MK12 Pohjois-Karjala","0",0
"60",NA,NA,"MK13 Keski-Suomi","4",13
"61",NA,NA,"MK14 Etelä-Pohjanmaa","1",3
"62",NA,NA,"MK15 Pohjanmaa","1",1
"63",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"64",NA,NA,"MK17 Pohjois-Pohjanmaa","3",12
"65",NA,NA,"MK18 Kainuu","0",0
"66",NA,NA,"MK19 Lappi","1",3
"67",NA,NA,"MA2 AHVENANMAA","0",0
"68",NA,NA,"MK21 Ahvenanmaa","0",0
"69",NA,"Rakennustoiminta","KOKO MAA","28",152
"70",NA,NA,"MA1 MANNER-SUOMI","28",152
"71",NA,NA,"MK01 Uusimaa","8",54
"72",NA,NA,"MK02 Varsinais-Suomi","6",37
"73",NA,NA,"MK04 Satakunta","1",6
"74",NA,NA,"MK05 Kanta-Häme","0",0
"75",NA,NA,"MK06 Pirkanmaa","1",2
"76",NA,NA,"MK07 Päijät-Häme","4",12
"77",NA,NA,"MK08 Kymenlaakso","0",0
"78",NA,NA,"MK09 Etelä-Karjala","0",0
"79",NA,NA,"MK10 Etelä-Savo","3",3
"80",NA,NA,"MK11 Pohjois-Savo","1",4
"81",NA,NA,"MK12 Pohjois-Karjala","0",0
"82",NA,NA,"MK13 Keski-Suomi","2",31
"83",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"84",NA,NA,"MK15 Pohjanmaa","0",0
"85",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"86",NA,NA,"MK17 Pohjois-Pohjanmaa","2",3
"87",NA,NA,"MK18 Kainuu","0",0
"88",NA,NA,"MK19 Lappi","0",0
"89",NA,NA,"MA2 AHVENANMAA","0",0
"90",NA,NA,"MK21 Ahvenanmaa","0",0
"91",NA,"Kauppa","KOKO MAA","32",64
"92",NA,NA,"MA1 MANNER-SUOMI","32",64
"93",NA,NA,"MK01 Uusimaa","18",38
"94",NA,NA,"MK02 Varsinais-Suomi","3",4
"95",NA,NA,"MK04 Satakunta","0",0
"96",NA,NA,"MK05 Kanta-Häme","0",0
"97",NA,NA,"MK06 Pirkanmaa","2",2
"98",NA,NA,"MK07 Päijät-Häme","0",0
"99",NA,NA,"MK08 Kymenlaakso","1",1
"100",NA,NA,"MK09 Etelä-Karjala","2",5
"101",NA,NA,"MK10 Etelä-Savo","1",1
"102",NA,NA,"MK11 Pohjois-Savo","0",0
"103",NA,NA,"MK12 Pohjois-Karjala","0",0
"104",NA,NA,"MK13 Keski-Suomi","0",0
"105",NA,NA,"MK14 Etelä-Pohjanmaa","1",2
"106",NA,NA,"MK15 Pohjanmaa","1",6
"107",NA,NA,"MK16 Keski-Pohjanmaa","1",2
"108",NA,NA,"MK17 Pohjois-Pohjanmaa","1",1
"109",NA,NA,"MK18 Kainuu","0",0
"110",NA,NA,"MK19 Lappi","1",2
"111",NA,NA,"MA2 AHVENANMAA","0",0
"112",NA,NA,"MK21 Ahvenanmaa","0",0
"113",NA,"Kuljetus ja varastointi","KOKO MAA","17",94
"114",NA,NA,"MA1 MANNER-SUOMI","17",94
"115",NA,NA,"MK01 Uusimaa","2",13
"116",NA,NA,"MK02 Varsinais-Suomi","1",2
"117",NA,NA,"MK04 Satakunta","1",2
"118",NA,NA,"MK05 Kanta-Häme","1",2
"119",NA,NA,"MK06 Pirkanmaa","2",11
"120",NA,NA,"MK07 Päijät-Häme","1",2
"121",NA,NA,"MK08 Kymenlaakso","0",0
"122",NA,NA,"MK09 Etelä-Karjala","0",0
"123",NA,NA,"MK10 Etelä-Savo","0",0
"124",NA,NA,"MK11 Pohjois-Savo","4",5
"125",NA,NA,"MK12 Pohjois-Karjala","1",1
"126",NA,NA,"MK13 Keski-Suomi","0",0
"127",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"128",NA,NA,"MK15 Pohjanmaa","1",27
"129",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"130",NA,NA,"MK17 Pohjois-Pohjanmaa","1",14
"131",NA,NA,"MK18 Kainuu","0",0
"132",NA,NA,"MK19 Lappi","2",15
"133",NA,NA,"MA2 AHVENANMAA","0",0
"134",NA,NA,"MK21 Ahvenanmaa","0",0
"135",NA,"Majoitus- ja ravitsemistoiminta","KOKO MAA","16",64
"136",NA,NA,"MA1 MANNER-SUOMI","16",64
"137",NA,NA,"MK01 Uusimaa","3",5
"138",NA,NA,"MK02 Varsinais-Suomi","1",6
"139",NA,NA,"MK04 Satakunta","2",3
"140",NA,NA,"MK05 Kanta-Häme","0",0
"141",NA,NA,"MK06 Pirkanmaa","0",0
"142",NA,NA,"MK07 Päijät-Häme","0",0
"143",NA,NA,"MK08 Kymenlaakso","0",0
"144",NA,NA,"MK09 Etelä-Karjala","0",0
"145",NA,NA,"MK10 Etelä-Savo","2",5
"146",NA,NA,"MK11 Pohjois-Savo","4",36
"147",NA,NA,"MK12 Pohjois-Karjala","0",0
"148",NA,NA,"MK13 Keski-Suomi","1",1
"149",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"150",NA,NA,"MK15 Pohjanmaa","1",4
"151",NA,NA,"MK16 Keski-Pohjanmaa","1",2
"152",NA,NA,"MK17 Pohjois-Pohjanmaa","0",0
"153",NA,NA,"MK18 Kainuu","0",0
"154",NA,NA,"MK19 Lappi","1",2
"155",NA,NA,"MA2 AHVENANMAA","0",0
"156",NA,NA,"MK21 Ahvenanmaa","0",0
"157",NA,"Muut palvelut","KOKO MAA","40",139
"158",NA,NA,"MA1 MANNER-SUOMI","40",139
"159",NA,NA,"MK01 Uusimaa","15",41
"160",NA,NA,"MK02 Varsinais-Suomi","5",12
"161",NA,NA,"MK04 Satakunta","1",7
"162",NA,NA,"MK05 Kanta-Häme","0",0
"163",NA,NA,"MK06 Pirkanmaa","1",2
"164",NA,NA,"MK07 Päijät-Häme","2",2
"165",NA,NA,"MK08 Kymenlaakso","0",0
"166",NA,NA,"MK09 Etelä-Karjala","0",0
"167",NA,NA,"MK10 Etelä-Savo","2",3
"168",NA,NA,"MK11 Pohjois-Savo","3",46
"169",NA,NA,"MK12 Pohjois-Karjala","1",2
"170",NA,NA,"MK13 Keski-Suomi","4",15
"171",NA,NA,"MK14 Etelä-Pohjanmaa","1",1
"172",NA,NA,"MK15 Pohjanmaa","1",2
"173",NA,NA,"MK16 Keski-Pohjanmaa","1",3
"174",NA,NA,"MK17 Pohjois-Pohjanmaa","3",3
"175",NA,NA,"MK18 Kainuu","0",0
"176",NA,NA,"MK19 Lappi","0",0
"177",NA,NA,"MA2 AHVENANMAA","0",0
"178",NA,NA,"MK21 Ahvenanmaa","0",0
"179",NA,"Tuntematon","KOKO MAA","26",26
"180",NA,NA,"MA1 MANNER-SUOMI","26",26
"181",NA,NA,"MK01 Uusimaa","9",9
"182",NA,NA,"MK02 Varsinais-Suomi","0",0
"183",NA,NA,"MK04 Satakunta","2",2
"184",NA,NA,"MK05 Kanta-Häme","0",0
"185",NA,NA,"MK06 Pirkanmaa","1",1
"186",NA,NA,"MK07 Päijät-Häme","0",0
"187",NA,NA,"MK08 Kymenlaakso","1",1
"188",NA,NA,"MK09 Etelä-Karjala","2",2
"189",NA,NA,"MK10 Etelä-Savo","0",0
"190",NA,NA,"MK11 Pohjois-Savo","1",1
"191",NA,NA,"MK12 Pohjois-Karjala","0",0
"192",NA,NA,"MK13 Keski-Suomi","4",4
"193",NA,NA,"MK14 Etelä-Pohjanmaa","2",2
"194",NA,NA,"MK15 Pohjanmaa","1",1
"195",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"196",NA,NA,"MK17 Pohjois-Pohjanmaa","2",2
"197",NA,NA,"MK18 Kainuu","1",1
"198",NA,NA,"MK19 Lappi","0",0
"199",NA,NA,"MA2 AHVENANMAA","0",0
"200",NA,NA,"MK21 Ahvenanmaa","0",0
"201","2003M02","Yhteensä","KOKO MAA","246",1006
"202",NA,NA,"MA1 MANNER-SUOMI","246",1006
"203",NA,NA,"MK01 Uusimaa","78",430
"204",NA,NA,"MK02 Varsinais-Suomi","21",58
"205",NA,NA,"MK04 Satakunta","13",19
"206",NA,NA,"MK05 Kanta-Häme","9",52
"207",NA,NA,"MK06 Pirkanmaa","18",86
"208",NA,NA,"MK07 Päijät-Häme","10",115
"209",NA,NA,"MK08 Kymenlaakso","8",21
"210",NA,NA,"MK09 Etelä-Karjala","4",8
"211",NA,NA,"MK10 Etelä-Savo","4",5
"212",NA,NA,"MK11 Pohjois-Savo","7",30
"213",NA,NA,"MK12 Pohjois-Karjala","3",8
"214",NA,NA,"MK13 Keski-Suomi","15",47
"215",NA,NA,"MK14 Etelä-Pohjanmaa","16",27
"216",NA,NA,"MK15 Pohjanmaa","8",11
"217",NA,NA,"MK16 Keski-Pohjanmaa","7",12
"218",NA,NA,"MK17 Pohjois-Pohjanmaa","19",66
"219",NA,NA,"MK18 Kainuu","1",1
"220",NA,NA,"MK19 Lappi","5",10
"221",NA,NA,"MA2 AHVENANMAA","0",0
"222",NA,NA,"MK21 Ahvenanmaa","0",0
"223",NA,"Maa-, metsä ja kalatalous","KOKO MAA","8",9
"224",NA,NA,"MA1 MANNER-SUOMI","8",9
"225",NA,NA,"MK01 Uusimaa","1",1
"226",NA,NA,"MK02 Varsinais-Suomi","1",1
"227",NA,NA,"MK04 Satakunta","1",1
"228",NA,NA,"MK05 Kanta-Häme","1",1
"229",NA,NA,"MK06 Pirkanmaa","1",1
"230",NA,NA,"MK07 Päijät-Häme","0",0
"231",NA,NA,"MK08 Kymenlaakso","0",0
"232",NA,NA,"MK09 Etelä-Karjala","0",0
"233",NA,NA,"MK10 Etelä-Savo","1",2
"234",NA,NA,"MK11 Pohjois-Savo","0",0
"235",NA,NA,"MK12 Pohjois-Karjala","0",0
"236",NA,NA,"MK13 Keski-Suomi","1",1
"237",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"238",NA,NA,"MK15 Pohjanmaa","1",1
"239",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"240",NA,NA,"MK17 Pohjois-Pohjanmaa","0",0
"241",NA,NA,"MK18 Kainuu","0",0
"242",NA,NA,"MK19 Lappi","0",0
"243",NA,NA,"MA2 AHVENANMAA","0",0
"244",NA,NA,"MK21 Ahvenanmaa","0",0
"245",NA,"Teollisuus, kaivostoiminta sekä energia- ja vesihuolto","KOKO MAA","40",312
"246",NA,NA,"MA1 MANNER-SUOMI","40",312
"247",NA,NA,"MK01 Uusimaa","11",147
"248",NA,NA,"MK02 Varsinais-Suomi","4",30
"249",NA,NA,"MK04 Satakunta","2",3
"250",NA,NA,"MK05 Kanta-Häme","4",45
"251",NA,NA,"MK06 Pirkanmaa","6",42
"252",NA,NA,"MK07 Päijät-Häme","0",0
"253",NA,NA,"MK08 Kymenlaakso","1",1
"254",NA,NA,"MK09 Etelä-Karjala","0",0
"255",NA,NA,"MK10 Etelä-Savo","0",0
"256",NA,NA,"MK11 Pohjois-Savo","2",7
"257",NA,NA,"MK12 Pohjois-Karjala","0",0
"258",NA,NA,"MK13 Keski-Suomi","3",18
"259",NA,NA,"MK14 Etelä-Pohjanmaa","2",2
"260",NA,NA,"MK15 Pohjanmaa","1",1
"261",NA,NA,"MK16 Keski-Pohjanmaa","2",5
"262",NA,NA,"MK17 Pohjois-Pohjanmaa","1",8
"263",NA,NA,"MK18 Kainuu","0",0
"264",NA,NA,"MK19 Lappi","1",3
"265",NA,NA,"MA2 AHVENANMAA","0",0
"266",NA,NA,"MK21 Ahvenanmaa","0",0
"267",NA,"Rakennustoiminta","KOKO MAA","46",164
"268",NA,NA,"MA1 MANNER-SUOMI","46",164
"269",NA,NA,"MK01 Uusimaa","17",77
"270",NA,NA,"MK02 Varsinais-Suomi","0",0
"271",NA,NA,"MK04 Satakunta","2",2
"272",NA,NA,"MK05 Kanta-Häme","1",3
"273",NA,NA,"MK06 Pirkanmaa","4",11
"274",NA,NA,"MK07 Päijät-Häme","4",43
"275",NA,NA,"MK08 Kymenlaakso","3",6
"276",NA,NA,"MK09 Etelä-Karjala","0",0
"277",NA,NA,"MK10 Etelä-Savo","2",2
"278",NA,NA,"MK11 Pohjois-Savo","0",0
"279",NA,NA,"MK12 Pohjois-Karjala","1",1
"280",NA,NA,"MK13 Keski-Suomi","0",0
"281",NA,NA,"MK14 Etelä-Pohjanmaa","5",6
"282",NA,NA,"MK15 Pohjanmaa","1",2
"283",NA,NA,"MK16 Keski-Pohjanmaa","1",3
"284",NA,NA,"MK17 Pohjois-Pohjanmaa","4",7
"285",NA,NA,"MK18 Kainuu","1",1
"286",NA,NA,"MK19 Lappi","0",0
"287",NA,NA,"MA2 AHVENANMAA","0",0
"288",NA,NA,"MK21 Ahvenanmaa","0",0
"289",NA,"Kauppa","KOKO MAA","36",78
"290",NA,NA,"MA1 MANNER-SUOMI","36",78
"291",NA,NA,"MK01 Uusimaa","11",21
"292",NA,NA,"MK02 Varsinais-Suomi","4",6
"293",NA,NA,"MK04 Satakunta","1",1
"294",NA,NA,"MK05 Kanta-Häme","0",0
"295",NA,NA,"MK06 Pirkanmaa","1",1
"296",NA,NA,"MK07 Päijät-Häme","3",9
"297",NA,NA,"MK08 Kymenlaakso","0",0
"298",NA,NA,"MK09 Etelä-Karjala","2",3
"299",NA,NA,"MK10 Etelä-Savo","0",0
"300",NA,NA,"MK11 Pohjois-Savo","2",7
"301",NA,NA,"MK12 Pohjois-Karjala","2",7
"302",NA,NA,"MK13 Keski-Suomi","3",4
"303",NA,NA,"MK14 Etelä-Pohjanmaa","1",1
"304",NA,NA,"MK15 Pohjanmaa","1",1
"305",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"306",NA,NA,"MK17 Pohjois-Pohjanmaa","4",16
"307",NA,NA,"MK18 Kainuu","0",0
"308",NA,NA,"MK19 Lappi","1",1
"309",NA,NA,"MA2 AHVENANMAA","0",0
"310",NA,NA,"MK21 Ahvenanmaa","0",0
"311",NA,"Kuljetus ja varastointi","KOKO MAA","20",73
"312",NA,NA,"MA1 MANNER-SUOMI","20",73
"313",NA,NA,"MK01 Uusimaa","4",17
"314",NA,NA,"MK02 Varsinais-Suomi","5",7
"315",NA,NA,"MK04 Satakunta","2",6
"316",NA,NA,"MK05 Kanta-Häme","0",0
"317",NA,NA,"MK06 Pirkanmaa","2",26
"318",NA,NA,"MK07 Päijät-Häme","0",0
"319",NA,NA,"MK08 Kymenlaakso","2",6
"320",NA,NA,"MK09 Etelä-Karjala","0",0
"321",NA,NA,"MK10 Etelä-Savo","0",0
"322",NA,NA,"MK11 Pohjois-Savo","0",0
"323",NA,NA,"MK12 Pohjois-Karjala","0",0
"324",NA,NA,"MK13 Keski-Suomi","1",2
"325",NA,NA,"MK14 Etelä-Pohjanmaa","2",2
"326",NA,NA,"MK15 Pohjanmaa","0",0
"327",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"328",NA,NA,"MK17 Pohjois-Pohjanmaa","2",7
"329",NA,NA,"MK18 Kainuu","0",0
"330",NA,NA,"MK19 Lappi","0",0
"331",NA,NA,"MA2 AHVENANMAA","0",0
"332",NA,NA,"MK21 Ahvenanmaa","0",0
"333",NA,"Majoitus- ja ravitsemistoiminta","KOKO MAA","21",76
"334",NA,NA,"MA1 MANNER-SUOMI","21",76
"335",NA,NA,"MK01 Uusimaa","3",12
"336",NA,NA,"MK02 Varsinais-Suomi","2",5
"337",NA,NA,"MK04 Satakunta","0",0
"338",NA,NA,"MK05 Kanta-Häme","0",0
"339",NA,NA,"MK06 Pirkanmaa","1",1
"340",NA,NA,"MK07 Päijät-Häme","0",0
"341",NA,NA,"MK08 Kymenlaakso","1",7
"342",NA,NA,"MK09 Etelä-Karjala","2",5
"343",NA,NA,"MK10 Etelä-Savo","0",0
"344",NA,NA,"MK11 Pohjois-Savo","1",4
"345",NA,NA,"MK12 Pohjois-Karjala","0",0
"346",NA,NA,"MK13 Keski-Suomi","0",0
"347",NA,NA,"MK14 Etelä-Pohjanmaa","3",13
"348",NA,NA,"MK15 Pohjanmaa","3",5
"349",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"350",NA,NA,"MK17 Pohjois-Pohjanmaa","4",20
"351",NA,NA,"MK18 Kainuu","0",0
"352",NA,NA,"MK19 Lappi","1",4
"353",NA,NA,"MA2 AHVENANMAA","0",0
"354",NA,NA,"MK21 Ahvenanmaa","0",0
"355",NA,"Muut palvelut","KOKO MAA","54",273
"356",NA,NA,"MA1 MANNER-SUOMI","54",273
"357",NA,NA,"MK01 Uusimaa","25",149
"358",NA,NA,"MK02 Varsinais-Suomi","4",8
"359",NA,NA,"MK04 Satakunta","4",5
"360",NA,NA,"MK05 Kanta-Häme","2",2
"361",NA,NA,"MK06 Pirkanmaa","1",2
"362",NA,NA,"MK07 Päijät-Häme","3",63
"363",NA,NA,"MK08 Kymenlaakso","0",0
"364",NA,NA,"MK09 Etelä-Karjala","0",0
"365",NA,NA,"MK10 Etelä-Savo","0",0
"366",NA,NA,"MK11 Pohjois-Savo","2",12
"367",NA,NA,"MK12 Pohjois-Karjala","0",0
"368",NA,NA,"MK13 Keski-Suomi","4",19
"369",NA,NA,"MK14 Etelä-Pohjanmaa","3",3
"370",NA,NA,"MK15 Pohjanmaa","0",0
"371",NA,NA,"MK16 Keski-Pohjanmaa","1",1
"372",NA,NA,"MK17 Pohjois-Pohjanmaa","4",8
"373",NA,NA,"MK18 Kainuu","0",0
"374",NA,NA,"MK19 Lappi","1",1
"375",NA,NA,"MA2 AHVENANMAA","0",0
"376",NA,NA,"MK21 Ahvenanmaa","0",0
"377",NA,"Tuntematon","KOKO MAA","21",21
"378",NA,NA,"MA1 MANNER-SUOMI","21",21
"379",NA,NA,"MK01 Uusimaa","6",6
"380",NA,NA,"MK02 Varsinais-Suomi","1",1
"381",NA,NA,"MK04 Satakunta","1",1
"382",NA,NA,"MK05 Kanta-Häme","1",1
"383",NA,NA,"MK06 Pirkanmaa","2",2
"384",NA,NA,"MK07 Päijät-Häme","0",0
"385",NA,NA,"MK08 Kymenlaakso","1",1
"386",NA,NA,"MK09 Etelä-Karjala","0",0
"387",NA,NA,"MK10 Etelä-Savo","1",1
"388",NA,NA,"MK11 Pohjois-Savo","0",0
"389",NA,NA,"MK12 Pohjois-Karjala","0",0
"390",NA,NA,"MK13 Keski-Suomi","3",3
"391",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"392",NA,NA,"MK15 Pohjanmaa","1",1
"393",NA,NA,"MK16 Keski-Pohjanmaa","3",3
"394",NA,NA,"MK17 Pohjois-Pohjanmaa","0",0
"395",NA,NA,"MK18 Kainuu","0",0
"396",NA,NA,"MK19 Lappi","1",1
"397",NA,NA,"MA2 AHVENANMAA","0",0
"398",NA,NA,"MK21 Ahvenanmaa","0",0
"399","2003M03","Yhteensä","KOKO MAA","243",1083
"400",NA,NA,"MA1 MANNER-SUOMI","240",1054
"401",NA,NA,"MK01 Uusimaa","69",441
"402",NA,NA,"MK02 Varsinais-Suomi","17",46
"403",NA,NA,"MK04 Satakunta","14",38
"404",NA,NA,"MK05 Kanta-Häme","10",41
"405",NA,NA,"MK06 Pirkanmaa","20",42
"406",NA,NA,"MK07 Päijät-Häme","18",161
"407",NA,NA,"MK08 Kymenlaakso","4",17
"408",NA,NA,"MK09 Etelä-Karjala","8",33
"409",NA,NA,"MK10 Etelä-Savo","7",11
"410",NA,NA,"MK11 Pohjois-Savo","6",16
"411",NA,NA,"MK12 Pohjois-Karjala","3",3
"412",NA,NA,"MK13 Keski-Suomi","14",33
"413",NA,NA,"MK14 Etelä-Pohjanmaa","7",52
"414",NA,NA,"MK15 Pohjanmaa","11",34
"415",NA,NA,"MK16 Keski-Pohjanmaa","2",7
"416",NA,NA,"MK17 Pohjois-Pohjanmaa","18",47
"417",NA,NA,"MK18 Kainuu","3",8
"418",NA,NA,"MK19 Lappi","9",24
"419",NA,NA,"MA2 AHVENANMAA","3",29
"420",NA,NA,"MK21 Ahvenanmaa","3",29
"421",NA,"Maa-, metsä ja kalatalous","KOKO MAA","7",10
"422",NA,NA,"MA1 MANNER-SUOMI","7",10
"423",NA,NA,"MK01 Uusimaa","2",2
"424",NA,NA,"MK02 Varsinais-Suomi","1",3
"425",NA,NA,"MK04 Satakunta","0",0
"426",NA,NA,"MK05 Kanta-Häme","0",0
"427",NA,NA,"MK06 Pirkanmaa","0",0
"428",NA,NA,"MK07 Päijät-Häme","1",1
"429",NA,NA,"MK08 Kymenlaakso","1",2
"430",NA,NA,"MK09 Etelä-Karjala","0",0
"431",NA,NA,"MK10 Etelä-Savo","0",0
"432",NA,NA,"MK11 Pohjois-Savo","0",0
"433",NA,NA,"MK12 Pohjois-Karjala","1",1
"434",NA,NA,"MK13 Keski-Suomi","1",1
"435",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"436",NA,NA,"MK15 Pohjanmaa","0",0
"437",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"438",NA,NA,"MK17 Pohjois-Pohjanmaa","0",0
"439",NA,NA,"MK18 Kainuu","0",0
"440",NA,NA,"MK19 Lappi","0",0
"441",NA,NA,"MA2 AHVENANMAA","0",0
"442",NA,NA,"MK21 Ahvenanmaa","0",0
"443",NA,"Teollisuus, kaivostoiminta sekä energia- ja vesihuolto","KOKO MAA","36",259
"444",NA,NA,"MA1 MANNER-SUOMI","35",233
"445",NA,NA,"MK01 Uusimaa","5",102
"446",NA,NA,"MK02 Varsinais-Suomi","2",2
"447",NA,NA,"MK04 Satakunta","5",22
"448",NA,NA,"MK05 Kanta-Häme","1",1
"449",NA,NA,"MK06 Pirkanmaa","2",11
"450",NA,NA,"MK07 Päijät-Häme","3",16
"451",NA,NA,"MK08 Kymenlaakso","2",14
"452",NA,NA,"MK09 Etelä-Karjala","2",9
"453",NA,NA,"MK10 Etelä-Savo","2",3
"454",NA,NA,"MK11 Pohjois-Savo","0",0
"455",NA,NA,"MK12 Pohjois-Karjala","1",1
"456",NA,NA,"MK13 Keski-Suomi","2",14
"457",NA,NA,"MK14 Etelä-Pohjanmaa","2",20
"458",NA,NA,"MK15 Pohjanmaa","3",9
"459",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"460",NA,NA,"MK17 Pohjois-Pohjanmaa","2",6
"461",NA,NA,"MK18 Kainuu","0",0
"462",NA,NA,"MK19 Lappi","1",3
"463",NA,NA,"MA2 AHVENANMAA","1",26
"464",NA,NA,"MK21 Ahvenanmaa","1",26
"465",NA,"Rakennustoiminta","KOKO MAA","44",316
"466",NA,NA,"MA1 MANNER-SUOMI","44",316
"467",NA,NA,"MK01 Uusimaa","14",85
"468",NA,NA,"MK02 Varsinais-Suomi","1",1
"469",NA,NA,"MK04 Satakunta","2",4
"470",NA,NA,"MK05 Kanta-Häme","2",19
"471",NA,NA,"MK06 Pirkanmaa","3",4
"472",NA,NA,"MK07 Päijät-Häme","6",116
"473",NA,NA,"MK08 Kymenlaakso","0",0
"474",NA,NA,"MK09 Etelä-Karjala","1",10
"475",NA,NA,"MK10 Etelä-Savo","1",1
"476",NA,NA,"MK11 Pohjois-Savo","2",8
"477",NA,NA,"MK12 Pohjois-Karjala","0",0
"478",NA,NA,"MK13 Keski-Suomi","1",1
"479",NA,NA,"MK14 Etelä-Pohjanmaa","2",27
"480",NA,NA,"MK15 Pohjanmaa","4",21
"481",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"482",NA,NA,"MK17 Pohjois-Pohjanmaa","3",14
"483",NA,NA,"MK18 Kainuu","1",4
"484",NA,NA,"MK19 Lappi","1",1
"485",NA,NA,"MA2 AHVENANMAA","0",0
"486",NA,NA,"MK21 Ahvenanmaa","0",0
"487",NA,"Kauppa","KOKO MAA","43",122
"488",NA,NA,"MA1 MANNER-SUOMI","43",122
"489",NA,NA,"MK01 Uusimaa","15",60
"490",NA,NA,"MK02 Varsinais-Suomi","3",6
"491",NA,NA,"MK04 Satakunta","2",7
"492",NA,NA,"MK05 Kanta-Häme","1",2
"493",NA,NA,"MK06 Pirkanmaa","4",5
"494",NA,NA,"MK07 Päijät-Häme","3",9
"495",NA,NA,"MK08 Kymenlaakso","0",0
"496",NA,NA,"MK09 Etelä-Karjala","2",11
"497",NA,NA,"MK10 Etelä-Savo","1",3
"498",NA,NA,"MK11 Pohjois-Savo","1",1
"499",NA,NA,"MK12 Pohjois-Karjala","0",0
"500",NA,NA,"MK13 Keski-Suomi","3",4
"501",NA,NA,"MK14 Etelä-Pohjanmaa","1",1
"502",NA,NA,"MK15 Pohjanmaa","2",2
