"","date","TOL","maakunta","yrityksiä","työntekijöitä"
"28597",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"28598",NA,NA,"MK17 Pohjois-Pohjanmaa","9",31
"28599",NA,NA,"MK18 Kainuu","1",13
"28600",NA,NA,"MK19 Lappi","3",16
"28601",NA,NA,"MA2 AHVENANMAA","0",0
"28602",NA,NA,"MK21 Ahvenanmaa","0",0
"28603",NA,"Kauppa","KOKO MAA","35",102
"28604",NA,NA,"MA1 MANNER-SUOMI","34",95
"28605",NA,NA,"MK01 Uusimaa","8",25
"28606",NA,NA,"MK02 Varsinais-Suomi","4",6
"28607",NA,NA,"MK04 Satakunta","2",3
"28608",NA,NA,"MK05 Kanta-Häme","1",3
"28609",NA,NA,"MK06 Pirkanmaa","4",25
"28610",NA,NA,"MK07 Päijät-Häme","2",6
"28611",NA,NA,"MK08 Kymenlaakso","0",0
"28612",NA,NA,"MK09 Etelä-Karjala","1",2
"28613",NA,NA,"MK10 Etelä-Savo","2",3
"28614",NA,NA,"MK11 Pohjois-Savo","4",6
"28615",NA,NA,"MK12 Pohjois-Karjala","1",3
"28616",NA,NA,"MK13 Keski-Suomi","3",5
"28617",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"28618",NA,NA,"MK15 Pohjanmaa","0",0
"28619",NA,NA,"MK16 Keski-Pohjanmaa","1",3
"28620",NA,NA,"MK17 Pohjois-Pohjanmaa","1",5
"28621",NA,NA,"MK18 Kainuu","0",0
"28622",NA,NA,"MK19 Lappi","0",0
"28623",NA,NA,"MA2 AHVENANMAA","1",7
"28624",NA,NA,"MK21 Ahvenanmaa","1",7
"28625",NA,"Kuljetus ja varastointi","KOKO MAA","20",78
"28626",NA,NA,"MA1 MANNER-SUOMI","20",78
"28627",NA,NA,"MK01 Uusimaa","4",10
"28628",NA,NA,"MK02 Varsinais-Suomi","5",28
"28629",NA,NA,"MK04 Satakunta","2",3
"28630",NA,NA,"MK05 Kanta-Häme","1",2
"28631",NA,NA,"MK06 Pirkanmaa","1",3
"28632",NA,NA,"MK07 Päijät-Häme","1",1
"28633",NA,NA,"MK08 Kymenlaakso","1",14
"28634",NA,NA,"MK09 Etelä-Karjala","0",0
"28635",NA,NA,"MK10 Etelä-Savo","2",2
"28636",NA,NA,"MK11 Pohjois-Savo","0",0
"28637",NA,NA,"MK12 Pohjois-Karjala","0",0
"28638",NA,NA,"MK13 Keski-Suomi","0",0
"28639",NA,NA,"MK14 Etelä-Pohjanmaa","1",2
"28640",NA,NA,"MK15 Pohjanmaa","0",0
"28641",NA,NA,"MK16 Keski-Pohjanmaa","1",12
"28642",NA,NA,"MK17 Pohjois-Pohjanmaa","1",1
"28643",NA,NA,"MK18 Kainuu","0",0
"28644",NA,NA,"MK19 Lappi","0",0
"28645",NA,NA,"MA2 AHVENANMAA","0",0
"28646",NA,NA,"MK21 Ahvenanmaa","0",0
"28647",NA,"Majoitus- ja ravitsemistoiminta","KOKO MAA","16",62
"28648",NA,NA,"MA1 MANNER-SUOMI","16",62
"28649",NA,NA,"MK01 Uusimaa","2",7
"28650",NA,NA,"MK02 Varsinais-Suomi","4",11
"28651",NA,NA,"MK04 Satakunta","1",1
"28652",NA,NA,"MK05 Kanta-Häme","0",0
"28653",NA,NA,"MK06 Pirkanmaa","3",16
"28654",NA,NA,"MK07 Päijät-Häme","0",0
"28655",NA,NA,"MK08 Kymenlaakso","0",0
"28656",NA,NA,"MK09 Etelä-Karjala","1",1
"28657",NA,NA,"MK10 Etelä-Savo","1",3
"28658",NA,NA,"MK11 Pohjois-Savo","0",0
"28659",NA,NA,"MK12 Pohjois-Karjala","0",0
"28660",NA,NA,"MK13 Keski-Suomi","1",7
"28661",NA,NA,"MK14 Etelä-Pohjanmaa","1",2
"28662",NA,NA,"MK15 Pohjanmaa","0",0
"28663",NA,NA,"MK16 Keski-Pohjanmaa","1",3
"28664",NA,NA,"MK17 Pohjois-Pohjanmaa","0",0
