"","x","y","breaks","vuosikymmen","toimiala"
"631",6,4121.4,600,1,"Rakentaminen"
"632",NA,NA,800,1,"Rakentaminen"
"633",NA,NA,1000,1,"Rakentaminen"
"634",NA,NA,1200,1,"Rakentaminen"
"635",NA,NA,1400,1,"Rakentaminen"
"636",NA,NA,1600,1,"Rakentaminen"
"637",23,41.4,0,8,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"638",22,175.9,5,8,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"639",19,238,10,8,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"640",NA,NA,15,8,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"641",16,378.8,20,8,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"642",12,337.6,25,8,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"643",NA,NA,30,8,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"644",NA,NA,35,8,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"645",NA,NA,40,8,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"646",NA,NA,0.2,2,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"647",NA,NA,0.25,2,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"648",NA,NA,0.3,2,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"649",NA,NA,0.35,2,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"650",NA,NA,0.4,2,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"651",NA,NA,0.45,2,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"652",NA,NA,0.5,2,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"653",NA,NA,0.55,2,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"654",NA,NA,0.6,2,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"655",NA,NA,0.65,2,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"656",NA,NA,0.7,2,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"657",NA,NA,0.75,2,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"658",70,27.9,0,0,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"659",42,70.2,1,0,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"660",21,55.4,2,0,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"661",11,40.2,3,0,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"662",9,40.1,4,0,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"663",NA,NA,5,0,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"664",NA,NA,6,0,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"665",NA,NA,7,0,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"666",NA,NA,8,0,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"667",66,139,0,9,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"668",8,64.6,5,9,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"669",NA,NA,10,9,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"670",NA,NA,15,9,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"671",NA,NA,20,9,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"672",NA,NA,25,9,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"673",NA,NA,30,9,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"674",NA,NA,35,9,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"675",NA,NA,40,9,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"676",239,740.8729116386,0,1,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"677",22,319.179610192,10,1,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"678",13,324.8,20,1,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"679",NA,NA,30,1,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"680",NA,NA,40,1,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"681",NA,NA,50,1,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"682",NA,NA,60,1,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"683",NA,NA,70,1,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"684",NA,NA,80,1,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"685",NA,NA,90,1,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"686",NA,NA,100,1,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"687",NA,NA,110,1,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"688",NA,NA,120,1,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
"689",NA,NA,0,2,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"690",NA,NA,0.2,2,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"691",NA,NA,0.4,2,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"692",NA,NA,0.6,2,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"693",NA,NA,0.8,2,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"694",NA,NA,1,2,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"695",NA,NA,1.2,2,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"696",NA,NA,1.4,2,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"697",NA,NA,1.6,2,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"698",NA,NA,1.8,2,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"699",NA,NA,2,2,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"700",NA,NA,2.2,2,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"701",NA,NA,2.4,2,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"702",NA,NA,1.4,0,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"703",NA,NA,1.6,0,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"704",NA,NA,1.8,0,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"705",NA,NA,2,0,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"706",NA,NA,2.2,0,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"707",NA,NA,2.4,0,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"708",NA,NA,2.6,0,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"709",NA,NA,2.8,0,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"710",NA,NA,3,0,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"711",NA,NA,320,9,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"712",NA,NA,340,9,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"713",NA,NA,360,9,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"714",NA,NA,380,9,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"715",NA,NA,400,9,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"716",NA,NA,420,9,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"717",NA,NA,440,9,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"718",NA,NA,460,9,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"719",NA,NA,480,9,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"720",NA,NA,500,9,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"721",NA,NA,520,9,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"722",NA,NA,540,9,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"723",13,4.3539600947,0,1,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"724",8,5.7989171916,0.5,1,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"725",6,8.3657009594,1,1,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"726",NA,NA,1.5,1,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"727",NA,NA,2,1,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"728",NA,NA,2.5,1,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"729",NA,NA,3,1,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
"730",1568,18827.9658815507,0,8,"Teollisuus"
"731",31,4400,100,8,"Teollisuus"
"732",NA,NA,200,8,"Teollisuus"
"733",NA,NA,300,8,"Teollisuus"
"734",NA,NA,400,8,"Teollisuus"
"735",NA,NA,500,8,"Teollisuus"
"736",NA,NA,600,8,"Teollisuus"
"737",NA,NA,700,8,"Teollisuus"
"738",NA,NA,800,8,"Teollisuus"
"739",2318,11958.4272908446,0,2,"Teollisuus"
"740",183,5095.282317867,20,2,"Teollisuus"
"741",62,3292.144131127,40,2,"Teollisuus"
"742",26,1730.435567265,60,2,"Teollisuus"
"743",24,1889.242778316,80,2,"Teollisuus"
"744",15,1800.88027702,100,2,"Teollisuus"
"745",8,1268.5,120,2,"Teollisuus"
"746",NA,NA,140,2,"Teollisuus"
"747",NA,NA,160,2,"Teollisuus"
"748",11818,97185.7388687023,0,0,"Teollisuus"
"749",120,16136.3,100,0,"Teollisuus"
"750",42,10200.8,200,0,"Teollisuus"
"751",6,1985.3,300,0,"Teollisuus"
"752",7,3130.9,400,0,"Teollisuus"
"753",NA,NA,500,0,"Teollisuus"
"754",NA,NA,600,0,"Teollisuus"
"755",NA,NA,700,0,"Teollisuus"
"756",NA,NA,800,0,"Teollisuus"
"757",6360,77531.3737662383,0,9,"Teollisuus"
"758",225,32102.2,100,9,"Teollisuus"
"759",69,16421.9708617,200,9,"Teollisuus"
"760",23,8049.21,300,9,"Teollisuus"
"761",11,4887,400,9,"Teollisuus"
"762",NA,NA,500,9,"Teollisuus"
"763",NA,NA,600,9,"Teollisuus"
"764",NA,NA,700,9,"Teollisuus"
"765",NA,NA,800,9,"Teollisuus"
"766",NA,NA,900,9,"Teollisuus"
"767",NA,NA,1000,9,"Teollisuus"
"768",NA,NA,1100,9,"Teollisuus"
"769",17022,181688.474231517,0,1,"Teollisuus"
"770",292,40255.91761533,100,1,"Teollisuus"
"771",56,13191.8,200,1,"Teollisuus"
"772",25,8474,300,1,"Teollisuus"
"773",18,8743.7,400,1,"Teollisuus"
"774",13,7007,500,1,"Teollisuus"
"775",6,3842,600,1,"Teollisuus"
"776",NA,NA,700,1,"Teollisuus"
"777",NA,NA,800,1,"Teollisuus"
"778",NA,NA,900,1,"Teollisuus"
"779",NA,NA,1000,1,"Teollisuus"
